Year,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9,stat10,stat11,stat12,stat13,stat14,stat15,stat16,stat17,stat18,stat19,stat20,stat21,stat22,stat23
1986,28.0854794520548,30.7394658753709,27.9753424657534,28.4038356164383,29.4717808219178,28.4972602739726,27.6254794520548,22.7046575342466,27.8432876712329,29.7756164383562,27.7202739726027,NaN,26.7235616438356,28.4867403314917,30.6539726027397,29.5490410958904,28.9005540166205,29.4384615384615,28.3917808219178,29.0942465753425,27.6243835616438,29.6413698630137,29.1715068493151
1987,28.2391184573003,30.7898630136986,28.0139726027397,28.5142465753425,30.141095890411,28.607397260274,27.7487671232877,22.6738292011019,28.1079452054794,30.5356164383562,27.8260273972603,NaN,27.1413698630137,28.7846575342466,31.0775342465753,29.4665753424657,28.8046831955923,29.7627397260274,28.2494505494506,29.6561643835616,27.9427397260274,30.0462962962963,29.0396121883657
1988,29.1937321937322,30.9584487534626,28.775956284153,29.5527322404372,30.5085164835165,29.0021021021021,28.6710382513661,23.7021538461538,28.85625,30.6898907103825,28.8950819672131,NaN,27.8437158469945,29.5210843373494,31.3664835164835,29.7185792349727,29.4659340659341,29.7263888888889,28.4203296703297,29.9554644808743,28.4713114754098,29.4866310160428,29.9731301939058
1989,29.1172222222222,30.487397260274,28.6964383561644,29.5024657534247,29.7002770083103,28.7575498575499,28.8339622641509,23.6391176470588,28.7378082191781,29.8266483516483,28.7928767123288,NaN,27.526301369863,29.2356164383562,30.3682191780822,29.5797260273973,29.6048048048048,29.7983935742972,29.2854794520548,29.9,28.2643454038997,29.4545454545455,29.4613259668508
1990,28.5550143266476,30.6356164383562,28.4356164383562,29.0452054794521,30.0150684931507,28.6704735376045,27.7483660130719,23.4876033057851,28.254794520548,30.2920547945205,28.4873626373626,NaN,27.3530386740331,29.1671232876712,30.9753424657534,30.2212121212121,29.2884931506849,29.887397260274,28.826301369863,29.6032876712329,27.7008219178082,29.8928774928775,29.5895209580838
1991,28.45,30.9512968299712,28.2734246575342,28.8539726027397,30.2387362637363,28.7575342465753,28.113698630137,23.4230136986301,28.4217630853995,30.2693150684931,28.1443835616438,NaN,27.5046703296703,29.7383561643836,31.0104109589041,30.2435616438356,28.9531343283582,29.9668508287293,28.4561643835616,29.3893150684931,27.7819178082192,29.7994285714286,29.4882191780822
1992,28.3510989010989,30.5650273224044,28.1972677595628,28.7497267759563,30.0832417582418,28.4540983606557,28.1275956284153,23.1706849315068,28.3581967213115,30.2887978142077,28.0852459016393,27.6460674157303,27.1587912087912,29.3606557377049,31.1092896174863,30.0431693989071,28.427972027972,29.5841530054645,28.0546448087432,29.7207650273224,27.7262295081967,29.2680672268908,29.4698507462687
1993,27.9470914127424,30.3082191780822,27.9487671232877,28.3727272727273,29.8487534626039,28.5213855421687,27.8304109589041,22.0763157894737,27.8380821917808,29.8060273972603,27.7521978021978,27.15,26.7646575342466,28.9786301369863,30.6632596685083,29.9221917808219,28.1202739726027,29.4578651685393,28.0016438356164,28.8151098901099,27.5054794520548,28.447397260274,28.8149425287356
1994,28.0008219178082,30.5578947368421,28.0402739726027,28.4523287671233,29.9380165289256,28.4356164383562,27.9934246575342,22.421472392638,28.0049315068493,29.9553424657534,27.6345205479452,27.2238805970149,27.9336842105263,29.3260273972603,30.8608219178082,29.8980392156863,28.2744927536232,29.690395480226,28.0704109589041,29.8427397260274,27.4860273972603,29.0657534246575,29.2966666666667
1995,28.8213698630137,30.929014084507,28.7186781609195,29.4416438356164,30.4758904109589,28.8237569060774,28.7230136986301,23.6372602739726,28.6191780821918,30.4534246575343,28.5397260273973,28.1723756906077,27.7106849315068,29.9812849162011,31.2276712328767,30.926301369863,28.6780864197531,30.5545205479452,28.8786301369863,30.4506211180124,27.8857534246575,29.7578082191781,30.2281767955801
